Name,Domain,Event1,Event2
Russell Hall,Finance,Trainings,Internships
Jennifer Thompson,Development Processes,Expos,Trainings
Lauren Martin,Mobile Applications,Jobs,Seminars
Patricia Miller,Mobile Applications,Competitions,Seminars
Stacy French,Java,Webinars,Certifications
Eric Townsend,Mobile Applications,Certifications,Trainings
Barbara Mcguire,Blockchain,Talks,Hackathons
Michael Rowe,C++,Internships,Courses
Melissa Harris,Other,Webinars,Fests
Anthony Wilkinson,Networking,Hackathons,Competitions
Mrs. Brenda Scott,Other,Webinars,Certifications
James Cole,Finance,Internships,Fests
Kristen Mitchell,Development Processes,Expos,Fests
Todd Smith,Other,Certifications,Seminars
Melissa Diaz,Machine Learning,Jobs,Trainings
Jennifer Walker,Mobile Applications,Fests,Talks
Ashley Rodriguez,Security,Hackathons,Expos
Andre Elliott,Coding,Fests,Talks
Maureen Gross,C++,Talks,Workshops
Jason Anthony,Development Processes,Seminars,Courses
Brandon Molina,Higher Education,Competitions,Fests
Jessica Terrell,Data Science,Expos,Fests
Charles Parker,Cloud Computing,Expos,Webinars
Daniel Johnson,Data Science,Internships,Hackathons
Robert Sanchez,Management,Expos,Webinars
Christina Carter,Networking,Internships,Competitions
Andre Mcclure,Finance,Seminars,Trainings
Katelyn Barnes,Coding,Courses,Webinars
Gabriel Cruz,Other,Talks,Fests
Christina Williams,Software Architecture,Talks,Fests
William Turner,Development Processes,Trainings,Seminars
Damon Lane,C,Seminars,Internships
